position,title,address,latitude,longitude,rating,ratingCount,category,phoneNumber,website,cid,query,brand,branch,query_result_number,brand_match,bookingLinks
1,GOC Estate Agents Ltd,"147 Stranmillis Rd, Belfast BT9 5AJ",54.578905899999995,-5.934692999999999,4.7,442.0,Estate Agent,028 9066 2366,http://www.gocestateagents.com/,8075422957485662572,estate agents in belfast,Property People ,Belfast,1,False,
2,Piney Estate Agency,"42 Stranmillis Rd, Belfast BT9 5AA",54.579988,-5.934938000000001,4.9,249.0,Property Rental Agency,028 9066 6966,http://www.piney.co.uk/,12285366612863995258,estate agents in belfast,Property People ,Belfast,2,False,
3,"Reeds Rains Estate Agents Belfast, Ormeau","240-242 Ormeau Rd, Belfast BT7 2FZ",54.5780822,-5.9185916999999995,4.9,396.0,Estate Agent,028 9068 0420,https://www.reedsrains.co.uk/estate-agent/belfast?utm_source=google_my_business&utm_medium=organic&utm_campaign=QBELF1,3481012561587907011,estate agents in belfast,Property People ,Belfast,3,False,
4,Andersons Estate Agency,"55-59 Adelaide St, Belfast BT2 8FE",54.593888899999996,-5.928474,5.0,53.0,Estate agent,07394 631902,,16729820827458013348,estate agents in belfast,Property People ,Belfast,4,False,
5,Nicholas Residential,"Suite 1, 3 Wellington Park, Belfast BT9 6DJ",54.5819197,-5.9386927,5.0,150.0,Estate agent,028 9038 8383,http://www.nicholasresidential.co.uk/,9326676080612588795,estate agents in belfast,Property People ,Belfast,5,False,
6,Michael Chandler Estate Agents,"513 Ormeau Rd, Belfast BT7 3GU",54.571469199999996,-5.9143137999999995,4.6,243.0,Estate Agent,028 9045 0550,https://www.michael-chandler.co.uk/,1776806074338852344,estate agents in belfast,Property People ,Belfast,6,False,
7,House to Home Estate Agents,,,,4.9,172.0,Estate Agent,07402 209293,http://www.housetohomeestateagents.co.uk/,10384759211837494537,estate agents in belfast,Property People ,Belfast,7,False,
8,James Duggan Estates,"397D Ormeau Rd, Ormeau, Belfast BT7 3GP",54.5772488,-5.9185266,5.0,50.0,Estate Agent,028 9092 5050,http://www.jamesdugganestates.com/,12237002676710437003,estate agents in belfast,Property People ,Belfast,8,False,
9,Rea Estates | Belfast Estate Agents | Sales & Lettings,"15-17 Woodvale Rd, Belfast BT13 3BN",54.6069604,-5.9616191,4.4,176.0,Estate Agent,028 9023 2000,http://www.reaestates.com/,14839923764424655507,estate agents in belfast,Property People ,Belfast,9,False,
10,Fetherstons Estate Agents,"485 Lisburn Rd, Belfast BT9 7EZ",54.577407199999996,-5.9531372,4.6,116.0,Estate Agent,028 9066 1111,http://www.fetherstons.com/,11253345058512248933,estate agents in belfast,Property People ,Belfast,10,False,
1,Reeds Rains Estate Agents Ballyhackamore,"350 Upper Newtownards Rd, Belfast BT4 3EX",54.5953757,-5.8689259,4.9,444.0,Estate Agent,028 9065 5555,https://www.reedsrains.co.uk/estate-agent/ballyhackamore?utm_source=google_my_business&utm_medium=organic&utm_campaign=QBALY1,8086745563877992371,estate agents in belfast,Property People ,Belfast,11,False,
2,McGranaghan Estate Agents,"151 Andersonstown Rd, Belfast BT11 9BW",54.573613699999996,-5.9908595,4.4,181.0,Estate agent,028 9030 9030,http://www.mcgranaghanestateagents.com/,9370534244267623048,estate agents in belfast,Property People ,Belfast,12,False,
3,F5 Property Limited,"3 Wellington Park, Malone Rd, Belfast BT9 6DJ",54.5819197,-5.9386927,5.0,127.0,Estate agent,028 9038 8331,http://www.f5property.com/,4574434728535997948,estate agents in belfast,Property People ,Belfast,13,False,
4,Campbell & Co Estate Agents & Property Management Specialist,"225 Woodstock Rd, Belfast BT6 8PQ",54.5918578,-5.9039164,4.3,144.0,Estate agent,028 9073 2273,https://www.campbellcoproperty.com/,4195860991694500978,estate agents in belfast,Property People ,Belfast,14,False,
5,PropertyPal,"Unit 2D, Jennymount Business Park, N Derby St, Belfast BT15 3HN",54.6170221,-5.9229176,4.3,179.0,Estate Agent,028 9099 9999,https://www.propertypal.com/,8608033825943083785,estate agents in belfast,Property People ,Belfast,15,False,
6,Bennett Estate Agents,"184 Lisburn Rd, Belfast BT9 6AL",54.5813152,-5.9476504,4.2,84.0,Estate agent,028 9066 4347,http://www.bennettestateagents.com/,17128150628903203007,estate agents in belfast,Property People ,Belfast,16,False,
7,Gerard McClinton - Estate Agent,,,,5.0,43.0,Estate Agent,028 9099 2884,http://www.gerardmcclinton.co.uk/,2951834440993947373,estate agents in belfast,Property People ,Belfast,17,False,
8,Quicklet Letting Agents Belfast,"433-435 Lisburn Rd, Belfast BT9 7EY",54.5785665,-5.9517568,4.8,1400.0,Property management company,028 9066 5167,http://www.quickletni.co.uk/,3711973889396280599,estate agents in belfast,Property People ,Belfast,18,False,
9,Northern Property,"263 Falls Rd, Belfast BT12 6FB",54.5918722,-5.9635169,4.1,204.0,Estate agent,028 9032 4555,http://www.northernproperty.com/,6079803950112260466,estate agents in belfast,Property People ,Belfast,19,False,
10,CPS Property,"164 Lisburn Rd, Belfast BT9 6AL",54.5817889,-5.9469959,4.6,208.0,Estate agent,028 9095 8888,http://www.cps-property.com/,10744117036349334848,estate agents in belfast,Property People ,Belfast,20,False,
1,Gerard McClinton - Estate Agent,,,,5.0,43.0,Estate Agent,028 9099 2884,http://www.gerardmcclinton.co.uk/,2951834440993947373,estate agents in belfast,Property People ,Belfast,21,False,
2,PropertyPal,"Unit 2D, Jennymount Business Park, N Derby St, Belfast BT15 3HN",54.6170221,-5.9229176,4.3,179.0,Estate Agent,028 9099 9999,https://www.propertypal.com/,8608033825943083785,estate agents in belfast,Property People ,Belfast,22,False,
3,McMillan McClure,"11 Portland Ave, Glengormley, Newtownabbey BT36 5EY",54.6717552,-5.9575797,4.9,769.0,Estate agent,028 9080 0000,http://www.mcmillanmcclure.com/,12259138218418860245,estate agents in belfast,Property People ,Belfast,23,False,
